ref,witnesses,reading,translation_impact,decision,status
Genesis 1:1,Rahlfs-Hanhart / Göttingen / Logos morphology,Opening creation line reviewed with existing decision rows,Current wording keeps the Greek beginning formula and heaven-and-earth merism; no wording change,Keep current heaven-and-earth wording,reviewed
Genesis 1:2,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek pneuma can mean spirit/wind/breath; context reviewed for Spirit of God,Current wording keeps Spirit of God; no wording change,Keep Spirit of God,reviewed
Genesis 1:3,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek repeats ginomai in command and fulfillment,Current wording keeps the more literal come-to-be verbal echo; no wording change,Keep come to be,reviewed
Genesis 1:4,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek kalon aligns with the Hebrew good formula and repeats between ... between,Updated wording keeps good and restores the repeated between structure,Keep good and between ... between,reviewed
Genesis 1:5,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses cardinal hemera mia rather than ordinal first,Current wording keeps the literal day one formula; no wording change,Keep day one,reviewed
Genesis 1:6,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek stereoma reviewed for firmness and spatial span,Current firm span wording preserves the firmness idea more literally than expanse while avoiding default KJV diction,Keep firm span,reviewed
Genesis 1:7,Rahlfs-Hanhart / Göttingen / Logos morphology,Source repeats stereoma and the lower/upper water contrast,Current wording follows the firm span decision and preserves the below/above contrast,Keep firm span wording and below/above water contrast,reviewed
Genesis 1:8,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek calls the stereoma ouranon,Heaven aligns with Genesis 1:1 and the naming line,Keep Heaven,reviewed
Genesis 1:9,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses one gathering in the command and their gatherings in the fulfillment,Updated wording preserves repeated gathering language in both command and fulfillment,Keep one gathering and their gatherings,reviewed
Genesis 1:10,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses systemata ton hydaton for the named water bodies,Updated wording keeps the fuller gathered-bodies-of-the-waters phrase,Keep gathered bodies of the waters,reviewed
Genesis 1:11,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek plant terms reviewed for repeated according-to phrasing and singular fruit-tree wording,Updated wording keeps singular fruit-bearing tree and whose seed is in it; Hebrew is likewise singular/collective here,Keep singular Greek plant wording,reviewed
Genesis 1:12,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek fulfillment echoes the singular and repeated plant wording from Genesis 1:11,Updated wording matches the literal plant wording approved for Genesis 1:11,Keep matching literal fulfillment wording,reviewed
Genesis 1:13,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses ordinal hemera trite in the day formula,Current wording keeps third day rather than cardinal day three,Keep third day,reviewed
Genesis 1:14,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek phosteres and Hebrew meorot both point to light-bearing bodies,Updated wording keeps light-bearers and repeated between ... between language,Keep light-bearers and repeated between wording,reviewed
Genesis 1:15,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek hoste phainein epi tes ges reviewed,Updated wording keeps purpose-result force and upon the earth,Keep so as to shine upon the earth,reviewed
Genesis 1:16,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses great light-bearer and plural archas for day/night domains,Updated wording keeps great rather than greater and plural dominions; Hebrew rule term is singular,Keep great light-bearer and plural dominions,reviewed
Genesis 1:17,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek repeats placement in the firm span and hoste phainein epi tes ges,Updated wording matches Genesis 1:15 with so as to shine upon the earth,Keep shine upon the earth,reviewed
Genesis 1:18,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek continues the infinitive chain and repeats ana meson,Updated wording keeps to rule and repeated between the light and between the darkness,Keep infinitive rule and repeated between wording,reviewed
Genesis 1:19,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses ordinal hemera tetarte in the day formula,Current wording keeps fourth day,Keep fourth day,reviewed
Genesis 1:20,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek phrase herpeta psychon zoson uses soul wording for living creatures,Updated wording keeps crawling things of living souls and winged creatures; Hebrew nephesh chayyah likewise means living soul/being,Keep living souls wording,reviewed
Genesis 1:21,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek kete and Hebrew tanninim support sea-monsters wording,Updated wording keeps great sea-monsters and every soul of living creeping things,Keep sea-monsters and soul wording,reviewed
Genesis 1:22,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses blessing imperatives and passive multiplication for the winged creatures,Updated wording keeps increase and multiply plus let the winged creatures be multiplied upon the earth,Keep literal blessing wording,reviewed
Genesis 1:23,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses ordinal hemera pempte in the day formula,Current wording keeps fifth day,Keep fifth day,reviewed
Genesis 1:24,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek psyche zosan and Hebrew nephesh chayyah both use living-soul wording,Updated wording keeps singular collective living soul for land creatures,Keep living soul,reviewed
Genesis 1:25,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek land-animal fulfillment reviewed for cattle and plural creeping-things wording,Updated wording keeps cattle and all the creeping things according to their kind,Keep cattle and plural creeping-things wording,reviewed
Genesis 1:26,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses singular anthropon then plural let-them-rule language,Updated wording keeps singular man with plural rule language plus birds of Heaven and cattle,Keep man with plural rule wording,reviewed
Genesis 1:27,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek alternates the man / him / them in a tight poetic line,Updated wording keeps the singular man and him before plural them,Keep the man / him / them pattern,reviewed
Genesis 1:28,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek katakyrieusate and Hebrew kavash both support subdue it,Updated wording keeps subdue it and all the cattle plus all the creeping things creeping upon the earth,Keep subdue it with cattle wording,reviewed
Genesis 1:29,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek food-gift line reviewed for behold and seed/sowing repetition,Updated wording keeps seed-bearing plant sowing seed and fruit of sowable seed,Keep literal food-gift wording,reviewed
Genesis 1:30,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses psyche zoes and carries the gift verb from Genesis 1:29,Updated wording keeps soul of life while repeating I have given for readability,Keep soul of life with supplied gift verb,reviewed
Genesis 1:31,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek says all things as many as he made and behold very good,Updated wording keeps all-things scope and climactic very good evaluation,Keep all things and very good,reviewed
Genesis 2:1,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek kosmos denotes an ordered arrangement and Hebrew has all their host or array,Current wording keeps ordered array rather than modern world-language,Keep ordered array,reviewed
Genesis 2:2,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek reads sixth day for completion while the Hebrew Masoretic text reads seventh day there,Updated wording follows the Greek sixth-day completion and keeps rested on the seventh day,Keep sixth day completion with textual note,reviewed
Genesis 2:3,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek keeps the unusual began to make clause while Hebrew is smoother,Current wording preserves the Greek final clause instead of smoothing it away,Keep begun to make wording,reviewed
Genesis 2:4,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses biblos geneseos as the heading phrase,Updated wording keeps book of the genesis rather than smoothing to origin,Keep book of the genesis,reviewed
Genesis 2:5,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek keeps the field-growth precondition and no-human-to-work-it clause,Current wording keeps the readable draft while preserving the labor motif,Keep current green thing grass and work it wording,reviewed
Genesis 2:6,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses pege for a spring or water source while the Hebrew term is often rendered mist stream or flow,Current wording follows the Greek rising spring image and notes the Hebrew difference,Keep spring wording,reviewed
Genesis 2:7,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses formed human breath of life and living soul language,Current wording keeps human and living soul while preserving the shaping and breath imagery,Keep current formed human and living soul wording,reviewed
Genesis 2:8,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek paradeisos can mean garden park or paradise and the context supports garden,Current wording keeps garden with Eden and eastward orientation,Keep garden wording,reviewed
Genesis 2:9,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek has an unusual knowing known construction while Hebrew is smoother,Current wording keeps the readable tree of knowing good and evil phrase with a syntax note,Keep tree of knowing good and evil,reviewed
Genesis 2:10,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek and Hebrew both use head-language for the river division,Current wording keeps the literal four heads phrase,Keep four heads wording,reviewed
Genesis 2:18,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek and Hebrew both support helper corresponding language rather than merely helper,Current wording keeps corresponding to him and preserves the relational counterpart sense,Keep helper corresponding to him,reviewed
Genesis 2:21,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses ekstasis for trance and pleura for side while Hebrew has deep sleep and side or rib,Current wording keeps the Greek trance and side language with the Hebrew comparison in view,Keep trance and side wording,reviewed
Genesis 2:23,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek and Hebrew both preserve woman and man wordplay,Current wording keeps her man to preserve the source-language pairing,Keep woman and man wordplay,reviewed
Genesis 3:1,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek phronimos points to practical intelligence or shrewdness and Hebrew arum likewise supports crafty or shrewd,Current wording keeps most shrewd as the best fit for Greek and context,Keep most shrewd,reviewed
Genesis 3:15,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses I will put repeated between and watch or guard language for head and heel in an enmity context while Hebrew has strike or crush wording,Updated wording restores I will put and repeated between while rendering the hostile watch language as lie in wait,Keep I will put repeated between and hostile lie-in-wait wording,reviewed
Genesis 3:16,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek uses first-person multiplying I will multiply and a noun of turning or orientation,Updated wording restores first person direct speech and keeps turning rather than desire,Keep I will multiply and your turning,reviewed
Genesis 3:21,Rahlfs-Hanhart / Göttingen / Logos morphology,Greek and Hebrew both use tunic or garment plus skin language,Current wording keeps the concrete skin tunics image,Keep skin tunics wording,reviewed
Joshua 24:33,NETS / LES / LES2 / SAAS / LXXIntRahlfs / LXX Swete,Manual Logos export ends the verse at Eleazar's burial notice but the longer [33α]-[33β] continuation is retained as bracketed plus text,Main text keeps the shorter burial verse first and includes the longer continuation in brackets for reader visibility,Include bracketed [33a]-[33b] continuation after the burial notice,reviewed
Judges 6:34,Rahlfs / Swete / NETS / LES / LES2 / SAAS,Rahlfs and NETS preserve Spirit of God clothed Gideon while Swete and several English witnesses read Spirit of the Lord strengthened Gideon,Main text keeps the source-row clothing image and tracks the strengthened reading as an alternate tradition,Keep source-row wording with witness split in textual note,reviewed
1 Kings 2:46,Greek witness used here,Long Solomonic block follows Semei's death in Greek witness used here,Main text retains the expanded Greek block rather than compressing to the shorter form,retain plus-material in main text,reviewed
