ref,priority_score,importance,checked,scopes,signals,supports,recommendation,confidence,source_tools,observation_summary,fresh_translation,brenton_translation,watch
Exodus 20:24,35,high,1,soteria-sacrifice-formula,lexical_support,salvation-shaped rendering,keep,high,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,"Local Logos word-sense and Bible Word Study cluster soteria around salvation/deliverance. Peace/well-being appears, but not as the dominant controlling sense.","""You shall make me an altar of earth, and upon it you shall sacrifice your whole burnt offerings and your offerings of salvation, your sheep and your calves. In every place where I cause my name to be called, I will come to you and bless you.""","Ye shall make to me an altar of earth; and upon it ye shall sacrifice your whole burnt-offerings, and your peace-offerings, and your sheep and your calves in every place, where I shall record my name; and I will come to thee and bless thee.",no
Leviticus 4:31,34,high,1,soteria-sacrifice-formula,lexical_support,salvation-shaped rendering,keep,high,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,"Local Logos word-sense and Bible Word Study cluster soteria around salvation/deliverance. Peace/well-being appears, but not as the dominant controlling sense.","And he shall remove all the fat, just as the fat is removed from the sacrifice of salvation, and the priest shall offer it on the altar as an aroma of sweet fragrance to the Lord. And the priest shall make atonement for him, and it shall be forgiven him.","And he shall take away all the fat, as the fat is taken away from the sacrifice of peace-offering, and the priest shall offer it on the altar for a smell of sweet savour to the Lord; and the priest shall make atonement for him, and his sin shall be forgiven him.",no
2 Chronicles 33:16,31,high,1,soteria-sacrifice-formula,lexical_support,salvation-shaped rendering,keep,high,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,"Local Logos word-sense and Bible Word Study cluster soteria around salvation/deliverance. Peace/well-being appears, but not as the dominant controlling sense.","And he restored the altar of the Lord and sacrificed upon it a sacrifice of salvation and of praise, and told Iouda to serve the Lord God of Israel.","And he repaired the altar of the Lord, and offered upon it a sacrifice of peace-offering and thank-offering, and he told Juda to serve the Lord God of Israel.",no
Genesis 2:7,28,high,1,into-living-soul-formula,lexical_support,living soul rendering,keep,medium,AutoComplete.db WordSense; milestones/headwords; local index inspection,Local Logos word-sense index exposes soul as a primary sense and separately marks person/inner-person extensions. That supports keeping living soul visible where the formula is textually central.,"And God formed the human from dust of the earth and breathed into his face the breath of life, and the human became a living soul.","And God formed the man of dust of the earth, and breathed upon his face the breath of life, and the man became a living soul.",no
Leviticus 4:35,26,high,1,soteria-sacrifice-formula,lexical_support,salvation-shaped rendering,keep,high,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,"Local Logos word-sense and Bible Word Study cluster soteria around salvation/deliverance. Peace/well-being appears, but not as the dominant controlling sense.","And he shall remove all its fat, just as the fat of a sheep is removed from the sacrifice of salvation, and the priest shall place it on the altar, on the Lord's whole burnt offering. And the priest shall make atonement for him for the sin that he sinned, and it shall be forgiven him.","And he shall take away all his fat, as the fat of the lamb of the sacrifice of peace-offering is taken away, and the priest shall put it on the altar for a whole-burnt-offering to the Lord; and the priest shall make atonement for him for the sin which he sinned, and it shall be forgiven him.",no
Leviticus 4:26,24,high,1,soteria-sacrifice-formula,lexical_support,salvation-shaped rendering,keep,high,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,"Local Logos word-sense and Bible Word Study cluster soteria around salvation/deliverance. Peace/well-being appears, but not as the dominant controlling sense.","And he shall offer all its fat on the altar, just like the fat of the sacrifice of salvation. And the priest shall make atonement for him for his sin, and it shall be forgiven him.","And he shall offer up all his fat on the altar, as the fat of the sacrifice of peace-offering; and the priest shall make atonement for him concerning his sin, and it shall be forgiven him.",no
Leviticus 3:1,23,high,1,soteria-sacrifice-formula,lexical_support,salvation-shaped rendering,keep,high,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,"Local Logos word-sense and Bible Word Study cluster soteria around salvation/deliverance. Peace/well-being appears, but not as the dominant controlling sense.","And if his gift to the Lord is a sacrifice of salvation, if he brings it from the cattle, whether male or female, he shall bring it without blemish before the Lord.","And if his gift to the Lord be a peace-offering, if he should bring it of the oxen, whether it be male or whether it be female, he shall bring it unblemished before the Lord.",no
Joshua 22:23,22,high,1,soteria-sacrifice-formula,lexical_support,salvation-shaped rendering,keep,high,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,"Local Logos word-sense and Bible Word Study cluster soteria around salvation/deliverance. Peace/well-being appears, but not as the dominant controlling sense.","And if we built for ourselves an altar so as to turn away from the Lord our God, so as to offer on it sacrifices of whole burnt offerings or so as to make on it a sacrifice of salvation, the Lord himself shall require it.","And if we have built to ourselves an altar, so as to apostatize from the Lord our God, so as to offer upon it a sacrifice of whole-burnt-offerings, so as to offer upon it a sacrifice of peace-offering,—the Lord shall require it.",no
Joshua 22:29,22,high,1,soteria-sacrifice-formula,lexical_support,salvation-shaped rendering,keep,high,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,"Local Logos word-sense and Bible Word Study cluster soteria around salvation/deliverance. Peace/well-being appears, but not as the dominant controlling sense.","May it never be for us to turn away from the Lord in these days, to revolt from the Lord, so as to build for ourselves an altar for offerings and sacrifices of well-being and the sacrifice of salvation besides the altar of the Lord that is before his tent.","Far be it from us therefore that we should turn away from the Lord this day so as to apostatize from the Lord, so as that we should build an altar for burnt-offerings, and for peace-offerings, besides the altar of the Lord which is before his tabernacle.",no
Leviticus 7:11,22,high,1,soteria-sacrifice-formula,lexical_support,salvation-shaped rendering,keep,high,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,"Local Logos word-sense and Bible Word Study cluster soteria around salvation/deliverance. Peace/well-being appears, but not as the dominant controlling sense.",This is the law of the sacrifice of salvation that they shall bring to the Lord.,"This is the law of the sacrifice of peace-offering, which they shall bring to the Lord.",no
