book_code,book_name,canonical_order,section,intro_title,traditional_author,authorship_basis,jesus_or_nt_attribution,composition_date,mt_timeline,lxx_timeline,historical_setting,purpose_theme,key_themes,outline,oldest_fragment,oldest_fragment_date,oldest_substantial_manuscript,oldest_substantial_date,oldest_complete_hebrew,oldest_complete_hebrew_date,oldest_complete_greek,oldest_complete_greek_date,oldest_external_reference,oldest_external_reference_author,oldest_external_reference_date,textual_notes,conservative_notes,source_notes,status
GEN,Genesis,1,OT,Genesis,Moses,"Received as Mosaic in Jewish and Christian tradition; the Pentateuch is treated as Moses' writing, with only final inspired editorial updating where needed.","Jesus appealed to Moses in John 5:46-47; see also Mark 12:26 and Luke 24:27,44.",ca. 1446-1406 BC during Israel's wilderness period,"MT chronology yields the shorter primeval and patriarchal timeline; from creation to Jacob's family entering Egypt it is markedly shorter than the LXX, especially in Genesis 5 and 11.","LXX chronology is longer than the MT in the antediluvian and postdiluvian genealogies, chiefly because several patriarchal begetting ages are 100 years higher.","From creation through Joseph's death; written for covenant Israel as foundational history of origins, sin, nations, and the patriarchal line.","To give the true beginning of the world, man, sin, nations, and the covenant line, and to trace the promised seed through the fathers.","creation; fall; flood; Babel; Abrahamic covenant; promised seed; election; providence; covenant land","Primeval history 1-11; Patriarchal history 12-36; Joseph and the descent to Egypt 37-50.","4Q Genesis g (4Q7) and other early Qumran Genesis fragments",Hasmonean period ca. 100-1 BC,"4QpaleoGenesis-Exodus (4Q12), an extensive though fragmentary Hebrew witness covering large stretches of Genesis and Exodus",Hasmonean period,Leningrad Codex,AD 1008,"Codex Alexandrinus, Volume 1 (Genesis-2 Chronicles)",5th century AD,"Chronographical treatment of Genesis traditions",Demetrius the Chronographer,late 3rd century BC,"Genesis survives in both MT and LXX forms; the LXX genealogical numbers in chapters 5 and 11 are often longer. Early Jewish and Christian chronographers frequently reflect awareness of the longer Greek chronology.","Because Christ and the apostles treat Moses as author, this edition receives Genesis as Mosaic in authorship and originally inerrant in wording; later textual divergence in transmission does not overturn the inspiration of the autographs.","IAA Dead Sea Scrolls Featured Scrolls and 4Q Genesis pages; USC WSRP Leningrad Codex page; British Library Codex Alexandrinus catalogue; Britannica chronology entry on Demetrius.",draft
EXO,Exodus,2,OT,Exodus,Moses,"Received as Mosaic in Jewish and Christian tradition; Exodus is part of the law of Moses.","Jesus treats the bush narrative as Mosaic in Mark 12:26; see also Luke 20:37 and John 5:46-47.",ca. 1446-1406 BC during the wilderness period,"MT chronology places the exodus in the Mosaic generation and preserves the shorter genealogical framework reflected in the standard Hebrew text.","The LXX wording often expands or smooths details, but the historical setting remains the Mosaic exodus and Sinai covenant.","Israel's redemption from Egypt, covenant-making at Sinai, and the erection of the tabernacle.","To record the LORD's redemption, covenant law, and dwelling among His people.","redemption; Passover; covenant; law; tabernacle; priesthood; divine presence","Bondage and deliverance 1-15; Covenant at Sinai 16-24; Tabernacle instructions 25-31; Apostasy and renewal 32-34; Tabernacle construction 35-40.","7Q1 Greek Exodus fragment",late 2nd to early 1st century BC,"4Q paleoGenesis-Exodus and other Qumran Exodus witnesses",Hasmonean period,Leningrad Codex,AD 1008,"Codex Vaticanus, with Codex Alexandrinus also preserving Exodus",4th-5th century AD,Exagoge,Ezekiel the Tragedian,3rd-2nd century BC,"Exodus is preserved in both Hebrew and Greek streams; some early Greek witnesses show readings nearer the Hebrew tradition in places, while the LXX also preserves distinctive renderings and expansions.","Because Christ appeals to Moses in the Torah, this edition receives Exodus as Mosaic and originally inerrant in wording; later transmissional divergence is treated as a textual issue, not an authorship issue.","IAA Cave 7 and 4Q paleoGenesis-Exodus pages; IAA historical timeline; CSNTM/British Library major codex notices; Britannica and Oxford material on Ezekiel the Tragedian.",draft
LEV,Leviticus,3,OT,Leviticus,Moses,"Received as Mosaic in Jewish and Christian tradition; Leviticus stands within the law delivered through Moses.","The NT repeatedly treats the Mosaic law as Mosaic; see Mark 1:44, Matthew 8:4, and John 7:19-23.",ca. 1445-1406 BC at Sinai and in the wilderness,"MT chronology places Leviticus immediately after the tabernacle's erection and before the Sinai departure narratives in Numbers.","The LXX preserves the same wilderness setting, while sometimes differing in detail and wording from the later MT tradition.","Priestly legislation delivered from the tabernacle after the covenant at Sinai.","To set forth holy worship, priesthood, sacrifice, purity, atonement, and covenant holiness before a holy God.","holiness; sacrifice; priesthood; purity; atonement; Day of Atonement; covenant worship","Sacrifices 1-7; Priesthood 8-10; Clean and unclean 11-15; Atonement 16; Holiness laws 17-27.","4Q Leviticus and related early Qumran Leviticus fragments",Hasmonean period,"11Q paleoLeviticus a, a substantial early witness written in paleo-Hebrew script",Herodian period,Leningrad Codex,AD 1008,"Codex Vaticanus, with Codex Alexandrinus also preserving Leviticus",4th-5th century AD,"Discussion of the translated Mosaic law",Letter of Aristeas,mid-2nd century BC,"Leviticus is important for comparing priestly terminology across Hebrew and Greek; some Greek renderings illuminate how Second Temple readers understood cultic vocabulary.","This edition receives Leviticus as Mosaic law from God through Moses; holiness legislation is treated as divinely given, not as a late priestly invention.","IAA Featured Scrolls on paleoLeviticus; IAA archive entries for Leviticus manuscripts; Britannica on Letter of Aristeas.",draft
NUM,Numbers,4,OT,Numbers,Moses,"Received as Mosaic in Jewish and Christian tradition; the wilderness census and journey record belong to Moses' law-history.","Jesus and the apostles consistently subsume the wilderness law-history under Moses; see John 5:46-47 and 1 Corinthians 10's use of the wilderness narratives.",ca. 1445-1406 BC during Israel's wilderness wanderings,"MT chronology keeps the wilderness events in a tighter chronological framework from Sinai to the plains of Moab.","The LXX follows the same wilderness sequence but often reflects different numerical, lexical, or stylistic decisions in individual passages.","From Sinai through the wilderness to the plains of Moab east of Jordan.","To show the ordering, testing, judgment, preservation, and preparation of the covenant people on the way to the land.","wilderness testing; census; priestly order; rebellion; judgment; preservation; Balaam; inheritance","First generation ordered 1-10; Wilderness rebellion 11-25; Second generation prepared 26-36.","Qumran Numbers fragments such as 4QNumbers",Hasmonean period,"Several Qumran Numbers manuscripts provide substantial early Hebrew witnesses",Hasmonean-Herodian periods,Leningrad Codex,AD 1008,"Codex Vaticanus, with Codex Alexandrinus also preserving Numbers",4th-5th century AD,"Chronographic use of wilderness and Mosaic material",Demetrius the Chronographer,late 3rd century BC,"Numbers contains several places where textual comparison of MT and LXX affects chronology, figures, or wording; these deserve close apparatus work in a study edition.","This edition receives Numbers as Mosaic and historically grounded; numerical and textual differences between witnesses are treated as transmissional, not as evidence against inspiration.","IAA archive entries for Numbers manuscripts; Dead Sea Scrolls introduction/timeline; Demetrius chronographer references preserved in later writers.",draft
DEU,Deuteronomy,5,OT,Deuteronomy,Moses,"Received as Mosaic in Jewish and Christian tradition as Moses' covenant-renewal addresses on the plains of Moab.","Jesus explicitly cites Deuteronomy in temptation narratives and elsewhere as authoritative Scripture given through Moses; see Matthew 4:1-11 and Mark 12:29-31.",ca. 1406 BC on the plains of Moab just before Israel entered Canaan,"MT chronology places Deuteronomy at the close of Moses' life, immediately prior to Joshua's leadership.","The LXX preserves the same closing-Mosaic setting, though it sometimes differs in wording and sequence details from the MT.","Moses' final addresses, covenant renewal, and blessing before his death east of Jordan.","To renew the covenant, press covenant love and obedience, and prepare the next generation to enter the land.","covenant renewal; love of God; law; blessing and curse; central worship; succession; song of Moses","First address 1-4; Covenant stipulations 5-26; Blessings and curses 27-30; Final charge and death of Moses 31-34.","4Q Deuteronomy manuscripts including 4QDeut n",Hasmonean-Herodian periods,"Multiple substantial Qumran Deuteronomy witnesses survive, including copies of the Decalogue",Hasmonean-Herodian periods,Leningrad Codex,AD 1008,"Codex Vaticanus, with Codex Alexandrinus also preserving Deuteronomy",4th-5th century AD,"Account of the Greek translation of the Law",Letter of Aristeas,mid-2nd century BC,"Deuteronomy is a major control point for MT/LXX comparison because of its legal and covenant formulations, the Song of Moses, and several well-known quotation loci in the NT.","This edition receives Deuteronomy as Mosaic in substance and authorship, with the death notice understood as inspired final completion without overturning Mosaic authorship of the book proper.","IAA Featured Scrolls on 4Q Deuteronomy n; IAA archive entries; Britannica on Letter of Aristeas; major codex catalogues.",draft
JOS,Joshua,6,OT,Joshua,Joshua with possible inspired final notices by Eleazar or Phinehas,"The book naturally reads as Joshua's conquest record with brief closing notices after his death.","No direct saying of Jesus names Joshua as author, but the OT historical books are treated as truthful covenant history; see Hebrews 4:8 for Joshua's historical role.",ca. 1406-1380 BC during and shortly after the conquest,"MT chronology places Joshua immediately after Moses and before the judges in Israel's settlement of Canaan.","The LXX preserves the same conquest setting, though some speech and place-name details differ from the MT in spots.","Israel's entry into, conquest of, and initial allotment within Canaan under Joshua.","To show the LORD's covenant faithfulness in giving the land and to call Israel to obedient covenant fidelity.","conquest; covenant faithfulness; land promise; holy war; inheritance; covenant renewal","Entry and conquest 1-12; Land allotment 13-21; Covenant charge and renewal 22-24.","4Q Joshua a (4Q47)",ca. 200-100 BC,"4Q Joshua a and b preserve substantial early Hebrew portions of Joshua",Hasmonean period,Leningrad Codex,AD 1008,"Codex Vaticanus, with Codex Alexandrinus also preserving Joshua",4th-5th century AD,"Retelling of Israel's conquest traditions",Josephus,1st century AD,"Joshua's textual witnesses show the usual MT/LXX differences in wording and arrangement; some Qumran evidence helps illuminate earlier Hebrew forms behind later traditions.","This edition receives Joshua as fundamentally authored within Joshua's lifetime, with any brief posthumous notices understood as inspired completion, not a denial of substantial Joshuanic authorship.","IAA 4Q Joshua archive page; Josephus Antiquities; major codex catalogues.",draft
JDG,Judges,7,OT,Judges,Samuel (traditional conservative view),"Jewish and Christian tradition often ascribes Judges to Samuel; the recurring refrain fits an early-monarchy perspective looking back on the pre-kingdom period.","No direct NT attribution names the human writer, but Judges is received as truthful sacred history within the same covenant-historical stream Christ and the apostles endorse.",early monarchy, likely ca. 11th century BC,"MT chronology presents Judges as the era between Joshua and Samuel/Saul, though exact lengths within the book are debated.","The LXX preserves the same judges-era framework while differing from the MT in various details and some plus/minus readings.","The unsettled tribal era between Joshua and the rise of the monarchy.","To show Israel's cycle of apostasy, oppression, crying out, and deliverance, and the need for righteous covenant leadership.","apostasy; deliverance; covenant discipline; tribal disorder; need for godly rule","Introduction and incomplete conquest 1-3; Major judges 3-16; Epilogue of social and cultic disorder 17-21.","1Q Judges a (1Q6) and 4Q Judges fragments",before 68 BC,"Early Qumran Judges manuscripts preserve portions of the book in Hebrew",Hasmonean-Herodian periods,Leningrad Codex,AD 1008,"Codex Alexandrinus and Codex Vaticanus preserve Judges in Greek",4th-5th century AD,"Retelling of judges-era history",Josephus,1st century AD,"Judges contains significant textual variation in a number of scenes, and the LXX can preserve readings useful for evaluating difficult MT passages.","This edition receives Judges as true covenant history, traditionally associated with Samuel, and reads the refrain about no king in Israel as a theological, not anti-inerrancy, marker.","IAA/DSS archive material for Judges fragments; Josephus Antiquities; major Greek codex catalogues.",draft
RUT,Ruth,8,OT,Ruth,Samuel (traditional conservative view),"Ancient Jewish tradition commonly linked Ruth with Samuel; the Davidic genealogy and early-monarchy perspective fit that setting.","No direct NT statement names Ruth's writer, but Matthew 1 confirms Ruth's place in the true messianic genealogy.",early monarchy, likely 11th century BC,"MT chronology places Ruth in the days of the judges, with the genealogy reaching David in the monarchy's opening era.","The LXX preserves the same judges-era setting and Davidic trajectory, with only limited textual divergence from the MT.","A famine-era Bethlehem setting during the judges, leading to the Davidic line through Ruth and Boaz.","To display covenant kindness, providence, and the inclusion of Ruth the Moabitess in the line of David and Messiah.","kindness; redemption; providence; Davidic line; kinsman-redeemer; covenant mercy","Naomi's emptiness 1; Ruth and Boaz meet 2; Redemption arranged 3; Redemption completed and genealogy 4.","4Q Ruth a (4Q104)",about 50 BC,"4Q Ruth fragments provide the earliest Hebrew witness to the book",1st century BC,Leningrad Codex,AD 1008,"Codex Alexandrinus and Codex Vaticanus preserve Ruth in Greek",4th-5th century AD,"Retelling of Ruth within Israel's sacred history",Josephus,1st century AD,"Ruth is comparatively stable textually, though Qumran and Greek evidence remain useful at individual points.","This edition receives Ruth as true history and as a providential bridge to David and ultimately Christ; its shortness does not lessen its canonical weight.","IAA/DSS archive material for Ruth fragments; Josephus Antiquities; Matthew 1 genealogy; major codex catalogues.",draft
1SA,1 Samuel,9,OT,1 Samuel,Samuel with later prophetic completion by Nathan and Gad,"Conservative tradition often understands Samuel to have written the early material, with Nathan and Gad completing the later record; compare 1 Chronicles 29:29.","The NT treats the Samuel narrative as real sacred history; Acts 3:24 names Samuel prominently among the prophets.",ca. 11th-10th century BC across Samuel's ministry into David's early reign,"MT chronology covers the transition from judgeship to monarchy, from Samuel to Saul and David.","The LXX preserves the same transition period but sometimes preserves notable readings differing from the MT, especially in Samuel.","Israel's transition from tribal confederation to monarchy under Samuel, Saul, and David.","To show the rise of the monarchy under God's sovereign rule, the failure of Saul, and the divine choice of David.","prophetic leadership; kingship; covenant obedience; rejection of Saul; rise of David","Samuel and Eli 1-7; Saul's rise and fall 8-15; David's rise under Saul's shadow 16-31.","4Q Samuel b (4Q52)",about 250 BC,"4Q Samuel a and related Samuel manuscripts preserve extensive early Hebrew evidence of both 1 and 2 Samuel",3rd-1st centuries BC,Leningrad Codex,AD 1008,"Codex Vaticanus and Codex Alexandrinus preserve Samuel in Greek",4th-5th century AD,"Retelling of Samuel-Saul-David history",Josephus,1st century AD,"Samuel is one of the most textually important books in MT/LXX comparison; 4QSamuel often aligns with the LXX against the MT and can preserve older readings.","This edition receives the Samuel corpus as truthful prophetic history and treats the strong Qumran-LXX evidence as valuable for recovering earlier Hebrew readings where the MT appears secondary.","IAA/DSS archive material for 4QSamuel manuscripts; 1 Chronicles 29:29; Josephus Antiquities; major codex catalogues.",draft
2SA,2 Samuel,10,OT,2 Samuel,Nathan and Gad continuing the Samuel corpus,"Conservative tradition commonly reads 1-2 Samuel as one prophetic history completed after Samuel's death by Nathan and Gad; compare 1 Chronicles 29:29.","The David narratives are treated throughout the NT as real sacred history grounding the messianic hope.",ca. 10th century BC during David's reign,"MT chronology covers David's reign over Judah and all Israel, the covenant promise, and the later court narratives.","The LXX preserves the same Davidic framework, though Samuel remains one of the books with major textual interest between MT and Greek tradition.","David's reign in Hebron and Jerusalem, including covenant promise, sin, chastening, and kingdom consolidation.","To present the establishment of David's kingdom, the Davidic covenant, and the moral seriousness of sin even in the Lord's chosen king.","Davidic covenant; kingship; sin and repentance; providence; kingdom consolidation; messianic promise","David's ascent 1-5; Ark and covenant promise 6-7; Royal victories 8-10; David's sin and its consequences 11-20; Final words and appendices 21-24.","4Q Samuel a (4Q51) preserves extensive 2 Samuel material",about 50 BC,"4Q Samuel manuscripts are the earliest substantial Hebrew witnesses to large portions of 2 Samuel",3rd-1st centuries BC,Leningrad Codex,AD 1008,"Codex Vaticanus and Codex Alexandrinus preserve 2 Samuel in Greek",4th-5th century AD,"Retelling of David's reign",Josephus,1st century AD,"2 Samuel contains major text-critical loci, and Qumran plus LXX evidence is often crucial where the MT is difficult or abbreviated.","This edition receives 2 Samuel as prophetic court history standing within the inspired Samuel corpus and treats textual divergence as a preservation issue, not a challenge to inerrancy.","IAA/DSS archive material for Samuel manuscripts; 1 Chronicles 29:29; Josephus Antiquities; major codex catalogues.",draft
1KI,1 Kings,11,OT,1 Kings,Jeremiah (traditional conservative view),"Jewish and Christian tradition often associates Kings with Jeremiah or a prophetic school around him; the book reads as prophetic covenant history.","No direct NT attribution names the human writer, but the Elijah-Elisha and Solomon narratives are received as true sacred history throughout later Scripture.",exilic or late pre-exilic composition using earlier royal records,"MT chronology runs from David's death through Solomon and the divided kingdom down to Ahab and Jehoshaphat's era.","The LXX preserves the same royal history but differs from the MT in order and detail at several points, especially in the kingdom narratives.","From Solomon's accession to the divided kingdom and the ministries of Elijah and related prophets.","To explain the monarchy under the covenant, showing blessing for obedience and judgment for apostasy.","kingdom; temple; covenant obedience; idolatry; prophetic warning; Elijah","Solomon's reign 1-11; Divided kingdom beginnings 12-16; Elijah cycle and royal narratives 17-22.","Qumran Kings fragments survive only sparsely",Second Temple period,"No large Qumran witness survives comparable to Samuel; major evidence comes from the medieval Hebrew tradition and ancient versions",n/a,Leningrad Codex,AD 1008,"Codex Vaticanus and Codex Alexandrinus preserve 1 Kings in Greek",4th-5th century AD,"Retelling of Israel's monarchy",Josephus,1st century AD,"Kings is important for MT/LXX comparison because the Greek tradition sometimes preserves different order, pluses, or names in the royal accounts.","This edition receives Kings as prophetic covenant history, historically true and theologically interpretive, not as late fictionalized court legend.","Josephus Antiquities; standard codex catalogues; overview material on the Greek Kingdoms tradition.",draft
