ref,book_code,book_name,chapter,verse,review_status,importance,priority_score,themes,keyword_hits,same_normalized,tr_literal_translation,ukjv_translation,review_notes,reasons,decision
Mark 1:1,MRK,Mark,1,1,tr_literal_manual,high,30,christology; textual_literal,christology:christ; christology:jesus; christology:son of god; textual_literal:good news; textual_literal:gospel; textual_literal:son,no,"Beginning of the good news of Jesus Christ, Son of God.","The beginning of the gospel of Jesus Christ, the Son of God;",manual TR literal override,TR draft differs from UKJV witness; status:tr_literal_manual; manual TR literal override; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Romans 1:1,ROM,Romans,1,1,tr_literal_manual,high,30,anthropology_ethics; christology; spirit_church; textual_literal,anthropology_ethics:servant; anthropology_ethics:slave; christology:christ; christology:jesus; spirit_church:apostle; textual_literal:good news; textual_literal:gospel,no,"Paul, slave of Jesus Christ, called apostle, set apart for God's good news,","Paul, a servant of Jesus Christ, called to be an apostle, separated unto the gospel of God,",manual TR literal override,TR draft differs from UKJV witness; status:tr_literal_manual; manual TR literal override; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Romans 1:3,ROM,Romans,1,3,tr_literal_manual,high,30,anthropology_ethics; christology; textual_literal,anthropology_ethics:flesh; christology:christ; christology:jesus; christology:lord; textual_literal:seed; textual_literal:son,no,"concerning his Son, who came from David's seed according to flesh,","Concerning his Son Jesus Christ our Lord, which was made of the seed of David according to the flesh;",manual TR literal override,TR draft differs from UKJV witness; status:tr_literal_manual; manual TR literal override; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Romans 1:4,ROM,Romans,1,4,tr_literal_manual,high,30,christology; soteriology; spirit_church; textual_literal,christology:christ; christology:jesus; christology:lord; christology:son of god; soteriology:resurrection; spirit_church:spirit; textual_literal:son,no,"who was marked out Son of God in power according to Spirit of holiness by resurrection of dead ones: Jesus Christ our Lord,","And declared to be the Son of God with power, according to the spirit (o. pneuma) of holiness, by the resurrection from the dead:",manual TR literal override,TR draft differs from UKJV witness; status:tr_literal_manual; manual TR literal override; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
1 Thessalonians 1:1,1TH,1 Thessalonians,1,1,tr_literal_pass1,high,29,anthropology_ethics; christology; soteriology; spirit_church,anthropology_ethics:peace; christology:christ; christology:jesus; christology:lord; soteriology:grace; spirit_church:assembly; spirit_church:church,no,"Paul, and Silvanus, and Timotheus, to the assembly of the Thessalonians which is in God the Father and in the Lord Jesus Christ: Grace be to you, and peace, from God our Father, and the Lord Jesus Christ.","Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians which is in God the Father and in the Lord Jesus Christ: Grace be unto you, and peace, from God our Father, and the Lord Jesus Christ.",modernized archaic directional unto; normalized NT kurios as Lord; rendered ekklesia as assembly,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered ekklesia as assembly; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
John 13:16,JHN,John,13,16,tr_literal_pass1,high,29,anthropology_ethics; christology; textual_literal,anthropology_ethics:servant; anthropology_ethics:slave; christology:lord; textual_literal:amen,no,"Amen, amen, I say to you, The slave is not greater than his Lord; neither the one who is sent greater than the one who sent him.","Verily, verily, I say unto you, The servant is not greater than his lord; neither he that is sent greater than he that sent him.",modernized archaic directional unto; modernized he-that relative; modernized verily; normalized NT kurios as Lord; rendered amen formula directly; rendered doulos-family wording as slave,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered doulos-family wording as slave; rendered amen formula directly; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Matthew 16:18,MAT,Matthew,16,18,tr_literal_pass1,high,29,judgment_afterlife; spirit_church,judgment_afterlife:hades; judgment_afterlife:hell; spirit_church:assembly; spirit_church:church,no,"And I say also to you, That you are Peter, and upon this rock I will build my assembly; and the gates of Hades shall not prevail against it.","And I say also unto you, That you are Peter, and upon this rock I will build my church; and the gates of hell shall not prevail against it.",modernized archaic directional unto; rendered ekklesia as assembly; rendered hades as Hades,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered hades as Hades; rendered ekklesia as assembly; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
2 Thessalonians 1:8,2TH,2 Thessalonians,1,8,tr_literal_pass1,high,28,christology; judgment_afterlife; textual_literal,christology:christ; christology:jesus; christology:lord; judgment_afterlife:fire; textual_literal:good news; textual_literal:gospel,no,"In flaming fire taking vengeance on those who know not God, and that obey not the good news of our Lord Jesus Christ:","In flaming fire taking vengeance on them that know not God, and that obey not the gospel of our Lord Jesus Christ:",modernized them-that relative; normalized NT kurios as Lord; rendered euangelion as good news,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered euangelion as good news; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Revelation 1:1,REV,Revelation,1,1,tr_literal_manual,high,28,anthropology_ethics; christology; textual_literal,anthropology_ethics:servant; anthropology_ethics:slave; christology:christ; christology:jesus; textual_literal:angel,no,"Revelation of Jesus Christ, which God gave him to show his slaves what must happen quickly; and he signified it, sending through his angel to his slave John,","The Revelation of Jesus Christ, which God gave unto him, to show unto his servants things which must shortly come to pass; and he sent and signified it by his angel unto his servant John:",manual TR literal override,TR draft differs from UKJV witness; status:tr_literal_manual; manual TR literal override; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
1 Corinthians 1:2,1CO,1 Corinthians,1,2,tr_literal_pass1,high,27,christology; spirit_church,christology:christ; christology:jesus; christology:lord; spirit_church:assembly; spirit_church:church,no,"To the assembly of God which is at Corinth, to those who are sanctified in Christ Jesus, called to be holy ones, with all that in every place call upon the name of Jesus Christ our Lord, both their's and our's:","Unto the church of God which is at Corinth, to them that are sanctified in Christ Jesus, called to be saints, with all that in every place call upon the name of Jesus Christ our Lord, both their's and our's:",modernized archaic directional unto; modernized them-that relative; normalized NT kurios as Lord; rendered ekklesia as assembly; rendered hagioi as holy ones,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered ekklesia as assembly; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
