ref,book_name,chapter,verse,priority_score,importance,category,fresh_translation,mt_translation,brenton_translation,fresh_mt_ratio,fresh_brenton_ratio
2 Chronicles 6:20,2 Chronicles,6,20,21,high,different_from_both,"that your eyes may be open upon this house day and night, upon this place where you said your name would be called there, to hear prayer which your servant prays toward this place.","That yours eyes may be open upon this house day and night, upon the place whereof you have said that you would put your name there; to hearken unto the prayer which your servant prays toward this place.","so that thine eyes should be open over this house by day and by night, towards this place, whereon thou saidst thy name should be called, so as to hear the prayer which thy servant prays towards this house.",0.846,0.127
Genesis 24:40,Genesis,24,40,21,high,different_from_both,"And he said to me, The Lord God, before whom I have been well-pleasing, will himself send out his angel with you and prosper your way, and you shall take a wife for my son from my tribe and from my father's house.","And he said unto me, The LORD, before whom I walk, will send his angel with you, and prosper your way; and you shall take a wife for my son of my kindred, and of my father's house:","And he said to me, The Lord God to whom I have been acceptable in his presence, himself shall send out his angel with thee, and shall prosper thy journey, and thou shalt take a wife for my son of my tribe, and of the house of my father.",0.850,0.169
2 Samuel 5:2,2 Samuel,5,2,20,high,different_from_both,"And yesterday and the third day, while Saul was king over us, you were the one bringing out and bringing in Israel, and the Lord said to you, You will shepherd my people Israel, and you will be leader over Israel.","Also in time past, when Saul was king over us, you were he that led out and brought in Israel: and the LORD said to you, You shall feed my people Israel, and you shall be a captain over Israel.","And heretofore Saul being king over us, thou wast he that didst lead out and bring in Israel: and the Lord said to thee, Thou shalt feed my people Israel, and thou shalt be for a leader to my people Israel.",0.756,0.167
Zephaniah 2:3,Zephaniah,2,3,19,high,different_from_both,"Seek the Lord, all humble of earth, who have done his judgment. Seek righteousness; seek humility. It may be that you will be sheltered in the day of the Lord's wrath.","Seek all of you the LORD, all you meek of the earth, which have wrought his judgment; seek righteousness, seek meekness: it may be all of you shall be hid in the day of the LORD's anger.","Seek ye the Lord, all ye meek of the earth; do judgment, and seek justice, and answer accordingly; that ye may be hid in the day of the wrath of the Lord.",0.767,0.584
Zechariah 4:6,Zechariah,4,6,18,high,different_from_both,"And he answered and said to me: This is the word of the Lord to Zerubbabel, saying: Not by great power nor by might, but by my Spirit, says the Lord Almighty.","Then he answered and spoke unto me, saying, This is the word of the LORD unto Zerubbabel, saying, Not by might, nor by power, but by my spirit, says the LORD of hosts.","And he answered and spoke to me, saying, This is the word of the Lord to Zorobabel, saying,",0.817,0.619
Lamentations 2:9,Lamentations,2,9,16,high,different_from_both,"Her gates sank into the ground. He destroyed and broke her bars. Her king and her rulers are among the nations. There is no law, and even her prophets did not see a vision from the Lord.",Her gates are sunk into the ground; he has destroyed and broken her bars: her king and her princes are among the Gentiles: the law is no more; her prophets also find no vision from the LORD.,"Teth. Her gates are sunk into the ground: he has destroyed and broken to pieces her bars, and her king and her prince among the Gentiles: there is no law, nay, her prophets have seen no vision from the Lord.",0.836,0.383
Ruth 2:12,Ruth,2,12,16,high,different_from_both,"May the Lord repay your work, and may your wage be full from the Lord God of Israel, under whose wings you came to trust.","The LORD recompense your work, and a full reward be given you of the LORD God of Israel, under whose wings you are come to trust.","The Lord recompense thy work: may a full reward be given thee of the Lord God of Israel, to whom thou hast come to trust under his wings.",0.762,0.595
Song of Solomon 6:2,Song of Solomon,6,2,15,high,different_from_both,"My beloved went down into his garden, into bowls of spice, to shepherd in gardens and gather lilies.","My beloved is gone down into his garden, to the beds of spices, to feed in the gardens, and to gather lilies.","My kinsman is gone down to his garden, to the beds of spice, to feed his flock in the gardens, and to gather lilies.",0.832,0.689
Haggai 1:13,Haggai,1,13,15,high,different_from_both,"Haggai, messenger of the Lord, said to the people, I am with you, says the Lord.","Then spoke Haggai the LORD's messenger in the LORD's message unto the people, saying, I am with you, says the LORD.","And Aggæus the Lord's messenger spoke among the messengers of the Lord to the people, saying, I am with you, saith the Lord.",0.772,0.670
Amos 7:10,Amos,7,10,0,none,different_from_both,"And Amaziah priest of Bethel sent to Jeroboam king of Israel, saying, Amos is making conspiracies against you in midst of house of Israel; the land cannot bear all his words.","Then Amaziah the priest of Bethel sent to Jeroboam king of Israel, saying, Amos has conspired against you in the midst of the house of Israel: the land is not able to bear all his words.","Then Amasias the priest of Bæthel sent to Jeroboam king of Israel, saying, Amos is forming conspiracies against thee in the midst of the house of Israel: the land will be utterly unable to bear all his words.",0.869,0.027
Numbers 27:6,Numbers,27,6,0,none,different_from_both,"And the Lord spoke to Moses, saying,","And the LORD spoke unto Moses, saying,","The daughters of Salpaad have spoken rightly: thou shalt surely give them a possession of inheritance in the midst of their father's brethren, and thou shalt assign their father's inheritance to them.",0.971,0.131
Numbers 35:21,Numbers,35,21,0,none,different_from_both,"or in anger strikes him with the hand and he dies, the one striking shall surely be put to death. He is a murderer. The avenger of blood shall kill the murderer when he meets him.","Or in enmity strike him with his hand, that he die: he that stroke him shall surely be put to death; for he is a murderer: the revenger of blood shall slay the murderer, when he meet him.","or if he have smitten him with his hand through anger, and the man should die, let the man that smote him be put to death by all means, he is a murderer: let the murderer by all means be put to death: the avenger of blood shall slay the murderer when he meets him.",0.848,0.032
