ref,marker_types,draft_translation,comparison_notes,greek_absent_in_ethiopic,ethiopic_absent_in_greek,restored_text,interpolations,supplied_text,emended_text,corrupt_text,next_review
1 Enoch 1:1,ethiopic_absent_in_greek,"The words of the blessing of Enoch, wherewith he blessed the elect and righteous, who will be living in the day of tribulation, when all the wicked and godless are to be removed.",Ethiopic has text absent from G^g/G^s: and; and godless,,and; and godless,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 1:2,ethiopic_absent_in_greek,"And he took up his parable and said—Enoch a righteous man, whose eyes were opened by God, saw the vision of the Holy One in the heavens, which the angels showed me, and from them I heard everything, and from them I understood as I saw, but not for this generation, but for a remote one which is for to come.",Ethiopic has text absent from G^g/G^s: which,,which,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 1:4,greek_absent_in_ethiopic; interpolations; supplied_text,"And the eternal God will tread upon the earth, (even) on Mount Sinai, And appear from His camp And appear in the strength of His might from the heaven of heavens.",G^g has text absent from Ethiopic: of heavens; Charles marks interpolation: And appear from His camp; Charles supplied text: even,of heavens,,,And appear from His camp,even,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 1:7,greek_absent_in_ethiopic; supplied_text,"And the earth shall be wholly rent in sunder, And all that is upon the earth shall perish, And there shall be a judgement upon all (men).",G^g has text absent from Ethiopic: wholly; Charles supplied text: men,wholly,,,,men,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 1:8,greek_absent_in_ethiopic,"But with the righteous He will make peace, And will protect the elect, And mercy shall be upon them. And they shall all belong to God, And they shall be prospered, And they shall all be blessed. And He will help them all, And light shall appear unto them, And He will make peace with them.",G^g has text absent from Ethiopic: all; And He will help them all; And He will make peace with them,all; And He will help them all; And He will make peace with them,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 1:9,greek_absent_in_ethiopic,"And behold! He cometh with ten thousands of His holy ones To execute judgement upon all, And to destroy all the ungodly: And to convict all flesh Of all the works of their ungodliness which they have ungodly committed, And of all the hard things which ungodly sinners have spoken against Him.",G^g has text absent from Ethiopic: His; all; of their ungodliness; And of all the hard things which; have spoken,His; all; of their ungodliness; And of all the hard things which; have spoken,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 2:1,greek_absent_in_ethiopic,"Observe ye every thing that takes place in the heaven, how they do not change their orbits, and the luminaries which are in the heaven, how they all rise and set in order each in its season, and transgress not against their appointed order.",G^g has text absent from Ethiopic: and,and,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 2:2,greek_absent_in_ethiopic; emended_text,"Behold ye the earth, and give heed to the things which take place upon it from first to last, how steadfast they are, how none of the things upon earth change, but all the works of God appear to you.",G^g has text absent from Ethiopic: how =steadfast= they are; none of the things upon earth; but; to you; Charles emended text: steadfast,how =steadfast= they are; none of the things upon earth; but; to you,,,,,steadfast,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 2:3,ethiopic_absent_in_greek,"Behold the summer and the winter, how the whole earth is filled with water, and clouds and dew and rain lie upon it.","Ethiopic has text absent from G^g/G^s: how the whole earth is filled with water, and clouds and dew and rain lie upon it",,"how the whole earth is filled with water, and clouds and dew and rain lie upon it",,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 3:1,ethiopic_absent_in_greek; supplied_text,"Observe and see how (in the winter) all the trees seem as though they had withered and shed all their leaves, except fourteen trees, which do not lose their foliage but retain the old foliage from two to three years till the new comes.",Ethiopic has text absent from G^g/G^s: seem; Charles supplied text: in the winter,,seem,,,in the winter,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 5:1,greek_absent_in_ethiopic; ethiopic_absent_in_greek,"Observe ye how the trees cover themselves with green leaves and bear fruit: wherefore give ye heed and know with regard to all His works, and recognize how He that liveth for ever hath made them so.",G^g has text absent from Ethiopic: and know; His works; Ethiopic has text absent from G^g/G^s: ye,and know; His works,ye,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 5:2,greek_absent_in_ethiopic; ethiopic_absent_in_greek,"And all His works go on thus from year to year for ever, and all the tasks which they accomplish for Him, and their tasks change not, but according as God hath ordained so is it done.",G^g has text absent from Ethiopic: all; thus; for ever; which; their tasks; Ethiopic has text absent from G^g/G^s: God,all; thus; for ever; which; their tasks,God,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 5:3,greek_absent_in_ethiopic,And behold how the sea and the rivers in like manner accomplish and change not their tasks from His commandments.,G^g has text absent from Ethiopic: and change not; from His commandments,and change not; from His commandments,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 5:5,greek_absent_in_ethiopic,"Therefore shall ye execrate your days, And the years of your life shall perish, And the years of your destruction shall be multiplied in eternal execration, And ye shall find no mercy. In those days ye shall make your names an eternal execration unto all the righteous, And by you shall all who curse, curse. And all the sinners and godless shall imprecate by you, And for you, the godless, there shall be a curse. And all the ... shall rejoice, And there shall be forgiveness of sins, And every mercy and peace and forbearance: There shall be salvation unto them, a goodly light. And for all of you sinners there shall be no salvation, But on you all shall abide a curse. But for the elect there shall be light and grace and peace, And they shall inherit the earth.","G^g has text absent from Ethiopic: the years of your destruction; all; And all; and godless; And all the ... shall rejoice, _e._ And there shall be forgiveness of sins, _f._ And every mercy and peace and forbearance: _g._ There shall be salvation unto them, a goodly light. _i._ And for all of you sinners there shall be no salvation, _j._ But on you all shall abide a curse","the years of your destruction; all; And all; and godless; And all the ... shall rejoice, _e._ And there shall be forgiveness of sins, _f._ And every mercy and peace and forbearance: _g._ There shall be salvation unto them, a goodly light. _i._ And for all of you sinners there shall be no salvation, _j._ But on you all shall abide a curse",,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 5:9,supplied_text,"And they shall not again transgress, Nor shall they sin all the days of their life, Nor shall they die of (the divine) anger or wrath, But they shall complete the number of the days of their life. And their lives shall be increased in peace, And the years of their joy shall be multiplied, In eternal gladness and peace, All the days of their life.",Charles supplied text: the divine,,,,,the divine,,,Review supplied wording against Ethiopic base and any extant witnesses.
