ref,book_name,chapter,verse,importance,priority_score,decision_count,footnote_count,nt_parallel_count,nt_parallel_weight,nt_parallel_refs,crossref_top_vote,crossref_nt_count,crossref_shared_family_hits,english_witness_checked,english_witness_fresh_support,english_witness_brenton_support,english_witness_mt_support,english_witness_differs_all,english_witness_split_or_mixed,english_witness_signals,english_witness_recommendation,nt_english_checked,nt_english_support_family,nt_english_softens_family,nt_english_mixed,nt_english_signals,nt_english_recommendation,logos_local_checked,logos_local_scopes,logos_local_source_tools,logos_local_signals,logos_local_supports,logos_local_confidence,logos_local_recommendation,consensus_recommendation,keyword_hits,reasons,fresh_translation,brenton_translation
Genesis 1:1,Genesis,1,1,high,19,3,1,0,0,,361,5,0,0,0,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,god,decisions=3; footnotes=1; reviewed_decisions=3; importance=high; keywords=god; crossref_top_vote=361; eng_reco=keep; reco=keep,"At the beginning, God made heaven and earth.",In the beginning God made the heaven and the earth.
Genesis 1:2,Genesis,1,2,high,21,4,1,0,0,,97,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,Genesis 1:2,AutoComplete.db WordSense; recent history; local index inspection,lexical_support,Spirit of God rendering,medium,keep,keep,"abyss, god, spirit","decisions=4; footnotes=1; reviewed_decisions=1; importance=high; keywords=abyss, god, spirit; crossref_top_vote=97; logos=1; logos_reco=keep; logos_flags=lexical_support; logos_support=Spirit of God rendering; reco=keep","Now the earth was unseen and unformed, darkness was over the abyss, and the Spirit of God moved over the water.","But the earth was unsightly and unfurnished, and darkness was over the deep, and the Spirit of God moved over the water."
Genesis 1:5,Genesis,1,5,high,19,2,1,0,0,,26,1,0,0,0,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"day one, god","decisions=2; footnotes=1; reviewed_decisions=2; importance=high; keywords=day one, god; crossref_top_vote=26; eng_reco=keep; reco=keep","And God called the light Day, and the darkness he called Night. And evening came, and morning came: day one.","And God called the light Day, and the darkness he called Night, and there was evening and there was morning, the first day."
Genesis 1:26,Genesis,1,26,high,20,2,1,0,0,,82,3,0,2,2,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"god, image","decisions=2; footnotes=1; reviewed_decisions=2; importance=high; keywords=god, image; crossref_top_vote=82; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; reco=keep","And God said, 'Let us make humankind according to our image and according to likeness, and let them rule the fish of the sea and the birds of Heaven and the livestock and all the earth and every creeping thing that creeps on the earth.'","And God said, Let us make man according to our image and likeness, and let them have dominion over the fish of the sea, and over the flying creatures of heaven, and over the cattle and all the earth, and over all the reptiles that creep on the earth."
Genesis 2:7,Genesis,2,7,high,28,3,2,1,3,1 Corinthians 15:45,41,3,0,2,1,0,0,0,1,unclear,,3,2,0,1,"literal_support, smoothing",keep,1,into-living-soul-formula,AutoComplete.db WordSense; milestones/headwords; local index inspection,lexical_support,living soul rendering,medium,keep,keep,"god, soul","decisions=3; footnotes=2; reviewed_decisions=3; importance=high; keywords=god, soul; nt=1 Corinthians 15:45; crossref_top_vote=41; eng=fresh:1/brenton:0/mt:0; eng_flags=unclear; nt_eng=support:2/soften:0/mixed:1; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing; logos=1; logos_reco=keep; logos_flags=lexical_support; logos_support=living soul rendering; reco=keep","And God formed the human from dust of the earth and breathed into his face the breath of life, and the human became a living soul.","And God formed the man of dust of the earth, and breathed upon his face the breath of life, and the man became a living soul."
Genesis 18:19,Genesis,18,19,high,19,1,1,0,0,,18,3,0,2,2,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"judgment, justice, lord, righteousness","decisions=1; footnotes=1; reviewed_decisions=1; importance=high; keywords=judgment, justice, lord, righteousness; crossref_top_vote=18; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; reco=keep","For I know that he will direct his sons and his household after him, and they will keep the ways of the Lord, to do righteousness and judgment, so that the Lord may bring upon Abraham all that he spoke to him.","For I know that he will order his sons, and his house after him, and they will keep the ways of the Lord, to do justice and judgment, that the Lord may bring upon Abraam all things whatsoever he has spoken to him."
Exodus 3:2,Exodus,3,2,high,19,1,1,0,0,,17,3,0,2,1,0,0,0,1,unclear,keep,0,0,0,0,,,0,,,,,,,keep,"angel, being, lord","decisions=1; footnotes=1; reviewed_decisions=1; importance=high; keywords=angel, being, lord; crossref_top_vote=17; eng=fresh:1/brenton:0/mt:0; eng_reco=keep; eng_flags=unclear; reco=keep","Then an angel of the Lord appeared to him in a flame of fire out of the bush. And he saw that the bush burned with fire, but the bush was not being consumed.","And an angel of the Lord appeared to him in flaming fire out of the bush, and he sees that the bush burns with fire,—but the bush was not consumed."
Exodus 6:3,Exodus,6,3,high,20,1,1,0,0,,14,0,0,2,1,0,0,0,1,unclear,keep,0,0,0,0,,,0,,,,,,,keep,"being, god, lord, name","decisions=1; footnotes=1; reviewed_decisions=1; importance=high; keywords=being, god, lord, name; crossref_top_vote=14; eng=fresh:1/brenton:0/mt:0; eng_reco=keep; eng_flags=unclear; reco=keep","And I appeared to Abraham and Isaac and Jacob as their God, but my name, Lord, I did not make known to them.","And I appeared to Abraam and Isaac and Jacob, being their God, but I did not manifest to them my name Lord."
Exodus 20:7,Exodus,20,7,high,18,1,1,0,0,,39,3,0,3,3,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"god, lord, name","decisions=1; footnotes=1; reviewed_decisions=1; importance=high; keywords=god, lord, name; crossref_top_vote=39; eng=fresh:3/brenton:0/mt:0; eng_reco=keep; reco=keep","""You shall not take the name of the Lord your God in vain, for the Lord will certainly not clear the one who takes his name in vain.""",Thou shalt not take the name of the Lord thy God in vain; for the Lord thy God will not acquit him that takes his name in vain.
Exodus 20:24,Exodus,20,24,high,35,2,2,3,3,"Acts 15:17, James 2:7, Romans 2:17",43,0,4,2,1,0,0,0,1,unclear,,9,3,3,3,"literal_support, smoothing, translation_tradition",keep,1,soteria-sacrifice-formula,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,lexical_support,salvation-shaped rendering,high,keep,keep,"altar, name, peace, sacrifice, salvation","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=altar, name, peace, sacrifice, salvation; nt=Acts 15:17, James 2:7, Romans 2:17; crossref_top_vote=43; crossref_shared_family=4; eng=fresh:1/brenton:0/mt:0; eng_flags=unclear; nt_eng=support:3/soften:3/mixed:3; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing, translation_tradition; logos=1; logos_reco=keep; logos_flags=lexical_support; logos_support=salvation-shaped rendering; reco=keep","""You shall make me an altar of earth, and upon it you shall sacrifice your whole burnt offerings and your offerings of salvation, your sheep and your calves. In every place where I cause my name to be called, I will come to you and bless you.""","Ye shall make to me an altar of earth; and upon it ye shall sacrifice your whole burnt-offerings, and your peace-offerings, and your sheep and your calves in every place, where I shall record my name; and I will come to thee and bless thee."
