source_ref,mapped_refs,reason
Exodus 20:13-14,Exodus 20:13; Exodus 20:15,LXX orders the Decalogue differently; split murder/adultery rather than print a reversed range.
Deuteronomy 5:17-18,Deuteronomy 5:17; Deuteronomy 5:18,LXX orders the Decalogue differently; split murder/adultery rather than print a reversed range.
Exodus 39:1-2,Exodus 36:8-9,English Exodus 39 garment opening maps to LXX Exodus 36 garment construction.
Exodus 39:1-7,Exodus 36:8-14,English Exodus 39 garment section maps to LXX Exodus 36 garment construction.
Jeremiah 39:1-8,Jeremiah 46:1-3,LXX preserves the Jerusalem-breach opening at Jeremiah 46:1-3; later English-range verses are absent from this LXX location.
Jeremiah 39:1-9,Jeremiah 46:1-3,LXX preserves the Jerusalem-breach opening at Jeremiah 46:1-3; later English-range verses are absent from this LXX location.
Jeremiah 39:1-10,Jeremiah 46:1-3,LXX preserves the Jerusalem-breach opening at Jeremiah 46:1-3; later English-range verses are absent from this LXX location.
Jeremiah 39:2-4,Jeremiah 46:2-3,LXX preserves the city-breach opening at Jeremiah 46:2-3; later English-range verses are absent from this LXX location.
Jeremiah 39:2-8,Jeremiah 46:2-3,LXX preserves the city-breach opening at Jeremiah 46:2-3; later English-range verses are absent from this LXX location.
Jeremiah 39:2-9,Jeremiah 46:2-3,LXX preserves the city-breach opening at Jeremiah 46:2-3; later English-range verses are absent from this LXX location.
Jeremiah 48:1-49:22,Jeremiah 30:1-21; Jeremiah 31:1-44,LXX reorders these nation oracles; split into valid LXX Edom/Ammon and Moab sections.
