ref,heading,source_basis,status
Genesis 1:1,Creation of Heaven and Earth,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 1:3,First Day,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 1:6,The Firm Span,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 1:9,Dry Land and Trees,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 1:14,Lights in the Firm Span,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 1:20,Waters and Winged Creatures,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 1:24,Land Creatures,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 2:1,The Seventh Day,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 2:4,The Generations of Heaven and Earth,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 3:1,The Serpent and the Woman,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 3:8,God Calls Adam and Eve,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 3:14,Judgment and Promise,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 3:16,Judgment on Humanity,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 3:21,Expulsion from Paradise,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 4:1,Cain and Abel,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 4:17,Cain's Line,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 4:25,Seth and Enos,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 5:1,Adam's Generations,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 5:18,God Takes Up Enoch,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 5:25,From Methuselah to Noah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 6:1,Wickedness Increases,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 6:8,Noah's Favor with God,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 6:13,Preparing the Ark,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 7:1,The Flood,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 8:1,The Waters Recede,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 8:6,Noah Sends a Raven and a Dove,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 8:13,Exiting the Ark,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 8:20,Noah's Altar,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 9:1,God's Covenant with Noah,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 9:18,Noah and His Sons,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 9:26,Shem's Blessing and Noah's Death,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 10:1,Nations from Noah's Sons,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 10:2,Japhethites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 10:6,Hamites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 10:21,Semites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 11:1,Babel,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 11:10,Shem's Generations,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 11:27,Terah and Abram,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 12:1,Abram Called,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 12:10,Abram in Egypt,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 13:1,Abram and Lot Separate,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 13:10,Lot Proceeds Toward Sodom,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 13:14,Promise of the Land,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 14:1,War of Kings,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 14:10,Abram Rescues Lot,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 14:17,Melchizedek Blesses Abram,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 15:1,Covenant Promise,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 15:8,God Confirms His Promise,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 16:1,Hagar and Ishmael,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 17:1,Circumcision Covenant,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 17:9,Covenant of Circumcision,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 18:1,Visitors at Mamre,Original CC-BY editorial heading informed by public-domain Genesis structure,active
